product_id,product_name,category,price,stock,supplier
1,Smartphone,Electronics,699.99,150,TechCorp
2,Laptop,Electronics,999.99,80,PCWorld
3,Bluetooth Headphones,Electronics,199.99,200,SoundWave
4,Smart TV,Electronics,499.99,75,VisionTech
5,Smartwatch,Electronics,299.99,120,TimeKeepers
6,Digital Camera,Electronics,799.99,60,PhotoMax
7,Tablet,Electronics,399.99,90,GadgetPro
8,External Hard Drive,Electronics,129.99,110,DataSafe
9,Wireless Charger,Electronics,39.99,200,ChargeHub
10,Gaming Console,Electronics,499.99,50,GameSphere
11,4K Monitor,Electronics,299.99,40,ClearView
12,VR Headset,Electronics,349.99,30,VirtualReal
13,Electric Toothbrush,Health & Beauty,79.99,200,OralCare
14,Skincare Set,Health & Beauty,49.99,150,GlowBeauty
15,Makeup Kit,Health & Beauty,89.99,120,GlamCosmetics
16,Perfume,Health & Beauty,59.99,200,FragranceHouse
17,Hair Dryer,Health & Beauty,39.99,180,StyleMaster
18,Face Mask,Health & Beauty,19.99,220,BeautyNest
19,Protein Powder,Health & Beauty,29.99,100,NutriFit
20,Yoga Mat,Sports & Outdoors,29.99,150,FitnessFirst
21,Dumbbells,Sports & Outdoors,49.99,100,GymBuddy
22,Bicycle,Sports & Outdoors,299.99,60,CycleLife
23,Camping Tent,Sports & Outdoors,199.99,70,OutdoorGear
24,Fishing Rod,Sports & Outdoors,79.99,80,CatchMaster
25,Running Shoes,Sports & Outdoors,89.99,90,SportySteps
26,Backpack,Sports & Outdoors,39.99,110,TrailBlazers
27,Coffee Maker,Home Appliances,99.99,130,BrewMasters
28,Blender,Home Appliances,49.99,160,SmoothiePro
29,Microwave Oven,Home Appliances,199.99,75,QuickHeat
30,Refrigerator,Home Appliances,899.99,50,CoolHome
31,Washing Machine,Home Appliances,499.99,40,CleanWave
32,Vacuum Cleaner,Home Appliances,299.99,70,DirtBuster
33,Air Conditioner,Home Appliances,599.99,30,CoolBreeze
34,Electric Kettle,Home Appliances,29.99,200,KettlePro
35,Dining Set,Furniture,399.99,60,HomeStyle
36,Sofa,Furniture,799.99,40,ComfortSeating
37,Bed Frame,Furniture,499.99,50,SleepWell
38,Office Chair,Furniture,149.99,90,WorkStation
39,Bookshelf,Furniture,199.99,70,LibraryCo
40,Coffee Table,Furniture,129.99,80,TableCraft
41,Wardrobe,Furniture,699.99,20,StorageSolutions
42,Nightstand,Furniture,89.99,100,BedroomEssentials
43,T-shirt,Clothing,19.99,300,FashionHub
44,Jeans,Clothing,49.99,150,DenimWorld
45,Jacket,Clothing,89.99,100,OuterWear
46,Sneakers,Clothing,69.99,120,ShoeZone
47,Dress,Clothing,59.99,90,ChicStyles
48,Skirt,Clothing,39.99,110,FashionNest
49,Shorts,Clothing,29.99,150,SummerWear
50,Sweater,Clothing,49.99,80,CozyKnits
51,Cap,Clothing,15.99,250,HeadGear
52,Watch,Clothing,199.99,60,Timepieces
53,Sunglasses,Clothing,49.99,200,EyeWear
